# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT32, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown	µ_HeapSwapParity σ_HeapSwapParity
16  	   6041   426	   6132   398	   6156   398
24  	  10618   922	  12274   683	  12393   633
32  	  14564  1171	  18538   695	  18772   664
48  	  24619  1131	  34731   637	  35431   626
64  	  34599  1539	  51362   764	  52543   713
96  	  57266  2048	  89142   973	  91652   946
128 	  79253  2618	 126899  1198	 130859  1134
192 	 128461  3564	 211488  1497	 219011  1406
256 	 176877  4147	 295925  1733	 307254  1671
384 	 283666  5774	 483541  2156	 503806  2076
512 	 388200  6777	 670206  2622	 700080  2488
768 	 618370  9429	1081776  3242	1133242  2976
1024	 843600 10753	1491483  3977	1565908  3753
