# reps=1000, dist name=almost, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=50000, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown	µ_HeapSwapParity σ_HeapSwapParity
16  	   8505   261	   8489   261	   8515   260
24  	  15234   296	  15716   300	  15921   291
32  	  21923   330	  22923   317	  23394   298
48  	  38043   362	  39610   361	  40792   349
64  	  53964   397	  56013   413	  58109   390
96  	  90869   485	  93847   499	  97838   461
128 	 127213   542	 131042   549	 137379   511
192 	 210358   633	 215907   670	 227301   620
256 	 292320   653	 299283   680	 316800   608
384 	 477948   851	 487037   932	 516971   794
512 	 661485   949	 671571  1041	 716167   887
768 	1071124  1122	1082082  1211	1157216  1025
1024	1475571  1208	1486182  1255	1595653  1110
