# reps=1000, dist name=Zipf, dist param=0, PIVOT=MEDIAN, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
n	µ_HeapOnlyDown σ_HeapOnlyDown	µ_HeapUpDown σ_HeapUpDown
16  	   8165   357	   8321   357
24  	  14776   430	  15323   386
32  	  21387   484	  22488   432
48  	  36416   588	  38367   543
64  	  51791   675	  54699   611
96  	  86301   848	  90708   810
128 	 121541   997	 127538   912
192 	 199777  1255	 208269  1207
256 	 279519  1458	 290534  1334
384 	 454103  1817	 469109  1727
512 	 631925  2040	 650973  1920
768 	1017849  2557	1042871  2369
1024	1409849  2935	1440698  2789
