n	µ_11 σ_11	µ_12 σ_12	µ_13 σ_13	µ_14 σ_14	µ_15 σ_15	µ_16 σ_16	µ_17 σ_17	µ_18 σ_18	µ_19 σ_19	µ_20 σ_20
16  	  5449   692	  5358   633	  5303   586	  5278   547	  5269   520	  5122   617	  5122   617	  5122   617	  5122   618	  5123   618
24  	  9482   879	  9344   893	  9226   893	  9165   893	  9132   901	  9128   907	  9099   905	  9087   914	  9110   938	  9131   965
32  	 13637  1083	 13446  1071	 13317  1070	 13217  1058	 13161  1045	 13130  1043	 13098  1057	 13088  1062	 13112  1080	 13132  1090
48  	 22771  1410	 22474  1379	 22264  1379	 22080  1407	 21981  1408	 21959  1404	 21877  1374	 21872  1391	 21912  1397	 21979  1432
64  	 32230  1641	 31811  1618	 31470  1630	 31268  1594	 31166  1568	 31151  1586	 31094  1592	 31119  1600	 31144  1633	 31199  1710
96  	 52793  2240	 52148  2222	 51675  2173	 51391  2150	 51205  2182	 51137  2170	 51009  2189	 50983  2173	 51105  2211	 51234  2227
128 	 74172  2728	 73233  2695	 72607  2674	 72224  2612	 72071  2679	 72061  2800	 71807  2801	 71796  2766	 71833  2773	 71984  2847
192 	119684  3964	118346  3778	117444  3856	116887  3765	116499  3751	116369  3723	116034  3721	115933  3795	116075  3891	116375  3923
256 	166960  4937	165408  4814	164350  4843	163618  4919	163062  4816	162824  4709	162504  4808	162354  4787	162480  4869	162768  4961
384 	267080  7444	264632  7293	262898  7297	261784  7436	261103  7403	260990  7369	260353  7215	260323  7225	260489  7078	260976  7210
512 	371299  9065	367572  8926	365602  8945	363898  8993	363205  9059	362393  8672	362148  8886	362114  8794	362630  8760	363050  8826
768 	589655 13926	585115 14200	581523 13713	579502 13946	578273 14074	577520 14274	576449 13872	576407 13730	576734 13487	577733 13722
1024	816656 18866	809619 18619	804846 18492	801675 17085	800582 17710	799212 17558	798333 17533	797910 17459	798613 18070	799984 18156
